name,43101,43070,43040,43009,42979,42948,42917,42887,42856,42826,42795,42767,42736,42705,42675,42644,42614,42583,42552,42522,42491,42461,42430,42401,42370,42339,42309,42278,42248,42217,42186,42156,42125,42095,42064,42036,42005,41974,41944,41913,41883,41852,41821,41791,41760,41730,41699,41671,41640,41609,41579,41548,41518,41487,41456,41426,41395,41365,41334,41306,41275,41244,41214,41183,41153,41122,41091,41061,41030,41000,40969,40940,40909,40878,40848,40817,40787,40756,40725,40695,40664,40634,40603,40575,40544,40513,40483,40452,40422,40391,40360,40330,40299,40269,40238,40210,40179
Tobacco and Liquor,NaN,0.027594189,0.02711313,0.029204072,0.031668591,0.028298615,0.027808324,0.027069969,0.027225768,0.02689953,0.027267939,NaN,NaN,0.029066315,0.028464033,0.028783915,0.031705146,0.029525312,0.028277147,0.027433455,0.026852731,0.027129111,0.026776584,NaN,NaN,0.029335819,0.028663674,0.029000373,0.032140816,0.029364498,0.02833788,0.027211787,0.026354152,0.0259083,0.027267379,NaN,NaN,0.028877157,0.028732201,0.027851097,0.030338723,0.028820595,0.026616362,0.026612362,0.025358301,0.025038226,0.025525323,NaN,NaN,0.028950063,0.028869528,0.028122996,0.032118384,0.028168533,0.027734977,0.026911496,0.025497953,0.025102404,0.026930702,NaN,NaN,0.028378908,0.028188711,0.028524015,0.031953769,0.027345107,0.028028807,0.028266365,0.025606727,0.025966715,0.026100753,NaN,NaN,0.028983259,0.028032277,0.028047757,0.031279567,0.027642021,0.026674445,0.027710519,0.025146236,0.025379602,0.026493009,0.039320974,0.037130613,0.025155741,0.025813859,0.026085987,0.031287582,0.025699998,0.024716583,0.026546736,0.02405432,0.024505008,0.026472567,0.043140598,0.031129532
Cultrual and Office Appliances,NaN,0.026424634,0.026985429,0.023672154,0.024531905,0.023895354,0.023626245,0.026510518,0.020645522,0.020829359,0.023317256,NaN,NaN,0.023690609,0.025393819,0.023156747,0.02455278,0.023817201,0.022706721,0.024522116,0.021218852,0.022539919,0.02161854,NaN,NaN,0.02263187,0.023553036,0.022294937,0.024367977,0.023021843,0.022998437,0.023815841,0.020808918,0.020887623,0.022482596,NaN,NaN,0.022287089,0.020933977,0.020751798,0.021238026,0.021306179,0.021534306,0.02113081,0.020042074,0.020217465,0.020056353,NaN,NaN,0.022433972,0.022947823,0.021863263,0.022191812,0.024173723,0.024135781,0.023087405,0.020867159,0.020230006,0.021761707,NaN,NaN,0.023317701,0.024212935,0.024868323,0.024147434,0.025982527,0.025039624,0.024685344,0.022289864,0.02169426,0.021846569,NaN,NaN,0.023661508,0.022792861,0.022811037,0.023481178,0.022409052,0.021699321,0.021000491,0.019233215,0.017636388,0.018750214,0.017201748,0.017669822,0.018688929,0.018814118,0.019341533,0.019532917,0.020108455,0.019817207,0.020024949,0.017756929,0.020778011,0.021523974,0.016763745,0.019564588
Communication Appliances,NaN,0.026156611,0.0374301,0.025431972,0.026434053,0.029016363,0.028499783,0.031888707,0.026140028,0.027437174,0.027185633,NaN,NaN,0.02400315,0.02894465,0.026325981,0.026277855,0.026144019,0.027074441,0.028999217,0.027076653,0.027516265,0.026152189,NaN,NaN,0.024351008,0.031183558,0.030738191,0.027465167,0.026055287,0.026338016,0.027556688,0.025782478,0.026069283,0.023963134,NaN,NaN,0.025191186,0.027130941,0.023473196,0.019379239,0.021295956,0.021111661,0.021303306,0.019544649,0.020238702,0.018413583,NaN,NaN,0.017686534,0.019126427,0.018667237,0.017024275,0.018448967,0.019278044,0.018658931,0.017791397,0.017769922,0.017867258,NaN,NaN,0.015635513,0.016030234,0.016522764,0.016875281,0.016898661,0.017031393,0.016377903,0.015178401,0.016194916,0.016160283,NaN,NaN,0.012970277,0.01342075,0.014130605,0.013704521,0.014677457,0.014844345,0.013958126,0.013129451,0.012513437,0.012699552,0.015035044,0.013448254,0.013344717,0.012406948,0.014157779,0.013325833,0.014812314,0.013072326,0.013306196,0.013879964,0.012648498,0.013476506,0.015863996,0.013681841
Building and Decoration Materials,NaN,0.022099717,0.02127917,0.023085548,0.022470034,0.023258252,0.024309374,0.023362673,0.022866355,0.02301462,0.022074437,NaN,NaN,0.024503216,0.02427477,0.025093062,0.024103788,0.025072114,0.02501266,0.024114366,0.024335847,0.02349364,0.021690934,NaN,NaN,0.025800884,0.025080715,0.024956766,0.023873109,0.024124913,0.023745959,0.023736248,0.022600162,0.021823341,0.021149132,NaN,NaN,0.025704988,0.025511589,0.024856649,0.022967987,0.023258905,0.023606301,0.024168663,0.021503259,0.021215596,0.020721779,NaN,NaN,0.025243507,0.025845472,0.02544607,0.024203679,0.023479468,0.023747633,0.023724753,0.021415994,0.020624097,0.02092381,NaN,NaN,0.023910184,0.024108918,0.023725919,0.022010708,0.021921505,0.021897506,0.023158144,0.020733805,0.019774541,0.01927721,NaN,NaN,0.021501784,0.02134992,0.020534202,0.018678861,0.018511825,0.018652665,0.018832392,0.017262208,0.015923139,0.015861621,0.012755294,0.011673276,0.014419884,0.015629051,0.015253985,0.014547853,0.013630705,0.013160207,0.014225374,0.013215953,0.011367342,0.010834054,0.007742577,0.009648595
Gold and Silver Jewelry,NaN,0.018846892,0.017058286,0.018986731,0.018360813,0.019742095,0.017253157,0.018245562,0.020653747,0.019832116,0.01945711,NaN,NaN,0.02019015,0.018406932,0.020129773,0.019645375,0.020366191,0.018926789,0.01971066,0.021451731,0.020925204,0.020541685,NaN,NaN,0.021285556,0.019639342,0.021116612,0.020391969,0.02379209,0.020823828,0.021728749,0.024829689,0.022608136,0.025335817,NaN,NaN,0.021132896,0.020952071,0.022544826,0.022213429,0.025150288,0.020977651,0.023172017,0.024435993,0.02212878,0.023154743,NaN,NaN,0.022653996,0.021353144,0.022473969,0.022263299,0.026085769,0.026711676,0.026120305,0.030700451,0.036136953,0.027131326,NaN,NaN,0.022604714,0.020930609,0.022066428,0.021512948,0.023885223,0.020840864,0.021973248,0.024501106,0.023253129,0.023124228,NaN,NaN,0.021454055,0.019949007,0.022853728,0.021832621,0.023556219,0.021310386,0.02142778,0.024113047,0.023162456,0.024715414,0.03321652,0.027456185,0.019590172,0.021388097,0.023038906,0.021142879,0.021585466,0.019817207,0.020200031,0.023647346,0.019310505,0.02147593,0.027158214,0.023419569
Furniture,NaN,0.018871258,0.018624314,0.020679721,0.020045158,0.019685643,0.020535506,0.020684768,0.020152004,0.019858131,0.019811026,NaN,NaN,0.018752461,0.018894723,0.020746232,0.019093981,0.01958187,0.020247052,0.020240736,0.019696183,0.019499344,0.019718208,NaN,NaN,0.018606738,0.018938499,0.019946763,0.018992688,0.019142077,0.018901628,0.019323287,0.018655614,0.017889304,0.018737131,NaN,NaN,0.019077688,0.019730771,0.020242104,0.018459047,0.018975177,0.018761339,0.018418783,0.017710395,0.017424822,0.01808087,NaN,NaN,0.018862815,0.019282005,0.019817399,0.017841277,0.018335154,0.018101836,0.018197402,0.017356903,0.017005625,0.0173598,NaN,NaN,0.018949398,0.018272387,0.018831622,0.017251636,0.017125758,0.017448489,0.017536468,0.016215774,0.015848501,0.015542514,NaN,NaN,0.016764709,0.01697907,0.016777425,0.015066372,0.015337472,0.01589771,0.01539825,0.014766658,0.013857162,0.014186579,0.012548044,0.011785212,0.012791323,0.013110626,0.013711865,0.012569345,0.013061001,0.012896564,0.012387018,0.012102129,0.010784999,0.010834054,0.00949472,0.010428505
Cosmetics,NaN,0.015929096,0.018960372,0.016321015,0.016102919,0.016137227,0.015295411,0.016007758,0.016129828,0.015305503,0.017687534,NaN,NaN,0.014189362,0.015358239,0.014708091,0.015068806,0.014823659,0.014550025,0.014833964,0.015405836,0.015353963,0.017645941,NaN,NaN,0.014070699,0.015481534,0.015343664,0.015281179,0.015271821,0.014299999,0.014848421,0.015206517,0.014870861,0.017364447,NaN,NaN,0.013530117,0.014764154,0.014662783,0.014658655,0.014548317,0.014060696,0.014345951,0.014777661,0.014430428,0.016542073,NaN,NaN,0.013734567,0.014391008,0.015043716,0.014379232,0.014328963,0.013349957,0.014065625,0.014246838,0.014605252,0.016486499,NaN,NaN,0.013647182,0.014412186,0.014574665,0.013961563,0.013505571,0.013513889,0.01362631,0.013936283,0.014275198,0.016132203,NaN,NaN,0.013280514,0.013813006,0.014244447,0.013804868,0.013027422,0.013499279,0.013609964,0.013956002,0.014310669,0.015827437,0.015826362,0.014935397,0.01460962,0.014832784,0.015291145,0.015071575,0.01430591,0.014434485,0.0149257,0.014993788,0.015630096,0.017560296,0.017474073,0.015642757
Beverages,NaN,0.014052935,0.013496075,0.014954742,0.015623752,0.016443681,0.017144857,0.015545278,0.015422452,0.015158085,0.013934386,NaN,NaN,0.014001838,0.013909214,0.01499261,0.015635954,0.016357441,0.016512335,0.01531511,0.014608674,0.014419127,0.013383768,NaN,NaN,0.013615023,0.013749114,0.014741786,0.015571274,0.01614667,0.015930956,0.015211009,0.014491925,0.013985451,0.013569958,NaN,NaN,0.013105672,0.013823301,0.014143988,0.014262972,0.014906146,0.014761669,0.014077623,0.013337202,0.013315494,0.01253912,NaN,NaN,0.012448273,0.013496431,0.014036052,0.014634545,0.015193936,0.015126031,0.014296389,0.013503625,0.012897524,0.012851681,NaN,NaN,0.012261375,0.013267995,0.014189855,0.014082968,0.014507467,0.014806885,0.0137448,0.012898911,0.012644159,0.01199034,NaN,NaN,0.012409465,0.013028495,0.012750274,0.013188452,0.013813153,0.014179915,0.013768219,0.012716175,0.01264781,0.012562814,0.016335067,0.013048484,0.012253739,0.01212918,0.012467021,0.01415991,0.014073808,0.013731435,0.013218655,0.01205929,0.011809923,0.012083213,0.016669034,0.01125298
Newspapers and Magazines,NaN,0.009265069,0.009275191,0.00726946,0.008683089,0.005282301,0.005215102,0.008011338,0.006991511,0.007613729,0.009251181,NaN,NaN,0.00876365,0.009662563,0.007326384,0.008491465,0.005455385,0.005850756,0.007820655,0.007586479,0.007950822,0.009266381,NaN,NaN,0.009672742,0.010307898,0.008350005,0.009539005,0.005943268,0.006358791,0.009055856,0.008222572,0.008884283,0.009942151,NaN,NaN,0.009598415,0.010702202,0.008473651,0.009542389,0.005980861,0.006246907,0.009180642,0.008248961,0.008558444,0.009523909,NaN,NaN,0.009985698,0.010589059,0.008621128,0.009477221,0.006658017,0.006433856,0.009032769,0.008209655,0.009171573,0.009311273,NaN,NaN,0.012341712,0.011592159,0.008994925,0.009967342,0.00729381,0.007271362,0.009847807,0.009036062,0.010681139,0.01131641,NaN,NaN,0.012099228,0.011865736,0.010615741,0.010264056,0.008313035,0.007859724,0.011331086,0.009537131,0.010397071,0.011127064,0.008610295,0.006316362,0.013091737,0.013036554,0.011129278,0.011036971,0.008735467,0.008282802,0.012014969,0.010388553,0.012019567,0.013356395,0.008168774,0.007732246
Sports and Recreational Articles,NaN,0.004562483,0.00559872,0.004856207,0.00468277,0.004516165,0.005006831,0.005415486,0.004663749,0.004708719,0.004469209,NaN,NaN,0.004413079,0.004999857,0.00410973,0.00425361,0.004078467,0.004078348,0.004428171,0.004317217,0.004485321,0.004207878,NaN,NaN,0.004087269,0.004567289,0.004043607,0.004377021,0.004203079,0.004116225,0.003997312,0.003982659,0.00395416,0.003931758,NaN,NaN,0.003276418,0.003546292,0.003922818,0.004104055,0.003772543,0.003845044,0.003737422,0.003730686,0.003748301,0.003930172,NaN,NaN,0.004078904,0.003879738,0.004020479,0.004105434,0.003892379,0.00402263,0.003846069,0.003979053,0.004155869,0.004142277,NaN,NaN,0.004408471,0.004172253,0.004485437,0.004491981,0.004515215,0.00450463,0.004239296,0.004217739,0.004561135,0.004029541,NaN,NaN,0.004355245,0.004300804,0.004852504,0.004386594,0.004604384,0.004829274,0.004716011,0.004704985,0.00473663,0.004785834,0.005313136,0.00506908,0.004869873,0.004573905,0.005388131,0.005101447,0.00514844,0.005294841,0.00518679,0.005376344,0.005287678,0.005284904,0.005587915,0.004746307
